ean,brand,productTitle,productImage,basis,kj,kcal,fat,carbs,protein,sugars,fiber,salt,saturatedFat,,,
8718906836846,AH,AH Elstar schaal,https://static.ah.nl/dam/product/AHI_43545239383834353836?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,250,59,0.2,13,0.3,10,2,0,0,0.1,,
8718907651646,AH,AH Smoothie kiwi ananas limoen,https://static.ah.nl/dam/product/AHI_43545239383837353737?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,250,59,0.3,13,0.7,13,0.8,0,0,0.3,,
8718907651639,AH,AH Smoothie ananas kiwi limoen,https://static.ah.nl/dam/product/AHI_43545239383837363032?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,250,59,0.3,13,0.7,13,0.8,0,0,0.3,,
8710400021513,AH,AH Elstar appels,https://static.ah.nl/dam/product/AHI_43545239383933333036?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,250,59,0.2,13,0.3,10,2,0,0,0.1,0.1,0
8710400386834,AH,AH Appelen,https://static.ah.nl/dam/product/AHI_43545239383933333133?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,250,59,0.2,13,0.3,10,2,0,0,0.1,0.1,0
8710400051374,AH,AH Jonagold zak,https://static.ah.nl/dam/product/AHI_43545239383933373030?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,250,59,0.2,13,0.3,10,2,0,0,0.1,0.1,0
8712800000549,Chocomel,Chocomel Plantaardig,https://static.ah.nl/dam/product/AHI_43545239383934303035?revLabel=2&rendition=800x800_JPG_Q90&fileType=binary,,248,59,1.8,8.4,1.8,7.1,,0.2,0.8,,,
8718906973305,AH,AH Junami zak,https://static.ah.nl/dam/product/AHI_43545239383934323137?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,250,59,0.2,13,0.3,10,2,0,0,0.1,,
8710400369394,AH,"AH Verse ananas, mango, appel en druif",https://static.ah.nl/dam/product/AHI_43545239393033363933?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,251,59,0.2,13,0.5,12,1.8,0,0.02,0.08,,
8850987101090,Mama,Mama Instant noodles kip,https://static.ah.nl/dam/product/AHI_43545239393036363936?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,249,59,2.5,8.1,1.1,0.5,,0.9,1.3,,,
8710400428565,AH Biologisch,AH Biologisch Royal Gala schaal,https://static.ah.nl/dam/product/AHI_43545239393037313933?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,250,59,0.2,13,0.3,10,2,0,0,0.1,,
8718906839212,AH,AH Royal Gala schaal,https://static.ah.nl/dam/product/AHI_43545239393037323734?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,250,59,0.2,13,0.3,10,2,0,0,0.1,,
8710400297857,AH,"AH Verse ananas, appel, mango en druif",https://static.ah.nl/dam/product/AHI_43545239393131313233?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,251,59,0.2,13,0.5,13,1.8,0,0.02,0.08,,
5411188127697,Alpro,Alpro Barista haver,https://static.ah.nl/dam/product/AHI_43545239393134373238?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,248,59,3,6.7,0.8,3.3,1,0.13,0.3,,,
5411188134459,Alpro,Alpro Barista haver,https://static.ah.nl/dam/product/AHI_43545239393134383735?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,248,59,3,6.7,0.8,3.3,1,0.13,0.3,,,
8712400119634,Olvarit,Olvarit Knijpfruit 12+ mnd amandeldrink banaan,https://static.ah.nl/dam/product/AHI_43545239393135383639?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,248,59,0.8,11.34,0.92,8.9,1.21,0.04,0.09,,,
8717953193407,AH,AH Fruitbox appels voordeelpakket,https://static.ah.nl/dam/product/AHI_43545239393136303930?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,,250,59,0.2,13,0.3,10,2,0,0,0.1,,
